time,id,edge_weight,degree_avg,strength_avg,n_interactions,average_degree,density,transitivity
0,0,0,0.0,0.0,60,0.017699115044247787,0.00015802781289506955,0.0
1,0,0,0.0,0.0,56,0.035398230088495575,0.0003160556257901391,0.0
2,0,0,0.0,0.0,60,0.017699115044247787,0.00015802781289506955,0.0
3,0,0,0.0,0.0,112,0.3185840707964602,0.0028445006321112516,0.76
4,0,0,0.0,0.0,198,1.079646017699115,0.009639696586599241,0.267260579064588
5,0,0,0.0,0.0,214,1.5575221238938053,0.01390644753476612,0.15988779803646563
6,0,0,0.0,0.0,161,1.3274336283185841,0.011852085967130215,0.22478386167146974
7,0,0,0.0,0.0,179,1.3274336283185841,0.011852085967130215,0.1553398058252427
8,0,0,0.0,0.0,71,0.4778761061946903,0.004266750948166877,0.25
9,0,0,0.0,0.0,78,0.7787610619469026,0.00695322376738306,0.11650485436893204
10,0,0,0.0,0.0,46,0.4424778761061947,0.003950695322376738,0.42857142857142855
11,0,0,0.0,0.0,230,1.7699115044247788,0.01580278128950695,0.1422924901185771
12,0,0,0.0,0.0,235,1.3274336283185841,0.011852085967130215,0.2756183745583039
13,0,0,0.0,0.0,196,0.5663716814159292,0.0050568900126422255,0.2903225806451613
14,0,0,0.0,0.0,26,0.23008849557522124,0.0020543615676359038,0.0
15,0,0,0.0,0.0,133,0.7787610619469026,0.00695322376738306,0.33620689655172414
16,0,0,0.0,0.0,433,1.7876106194690264,0.015960809102402024,0.2136986301369863
17,0,0,0.0,0.0,834,2.0353982300884956,0.018173198482932997,0.3489583333333333
18,0,0,0.0,0.0,581,1.6991150442477876,0.015170670037926675,0.3790322580645161
19,0,0,0.0,0.0,162,0.9203539823008849,0.008217446270543615,0.175
20,0,0,0.0,0.0,187,1.3097345132743363,0.011694058154235146,0.2328767123287671
21,0,0,0.0,0.0,97,0.40707964601769914,0.0036346396965865994,0.3333333333333333
22,0,0,0.0,0.0,79,0.3185840707964602,0.0028445006321112516,0.0
23,0,0,0.0,0.0,114,0.3185840707964602,0.0028445006321112516,0.23076923076923078
24,0,0,0.0,0.0,159,0.584070796460177,0.005214917825537294,0.35294117647058826
25,0,0,0.0,0.0,271,1.7699115044247788,0.01580278128950695,0.16023738872403562
26,0,0,0.0,0.0,266,1.2212389380530972,0.010903919089759798,0.2054794520547945
27,0,0,0.0,0.0,90,0.37168141592920356,0.00331858407079646,0.2857142857142857
28,0,0,0.0,0.0,72,0.336283185840708,0.0030025284450063213,0.391304347826087
29,0,0,0.0,0.0,48,0.336283185840708,0.0030025284450063213,0.23076923076923078
30,0,0,0.0,0.0,243,1.6991150442477876,0.015170670037926675,0.16831683168316833
31,0,0,0.0,0.0,351,1.7168141592920354,0.015328697850821745,0.1978021978021978
32,0,0,0.0,0.0,291,1.3097345132743363,0.011694058154235146,0.2608695652173913
33,0,0,0.0,0.0,304,1.5044247787610618,0.013432364096080911,0.3132530120481928
34,0,0,1.0,7.0,216,1.1327433628318584,0.010113780025284451,0.2112676056338028
35,0,0,0.5,5.0,56,0.3008849557522124,0.002686472819216182,0.2222222222222222
36,0,0,0.0,0.0,4,0.05309734513274336,0.0004740834386852086,0.0
