Dataset name,delta_t,tau,L,Baseline MSE,Baseline AUPRC,SDModel MSE,SDModel AUPRC,SCDModel MSE,SCDModel AUPRC,SCDModel coefs,SCDOModel MSE,SCDOModel AUPRC,SCDOModel coefs
Hypertext graph,3600,3.5,0.5,1790.9565118397086,0.9123503945000112,1752.1164222505415,0.91421170261604,1238.2378713763696,0.8825447093889717,[15.54281598  0.37796792  0.          0.        ],1238.2378713763696,0.8825447093889717,[15.54281598  0.37796792  0.          0.        ]
Socio-calls graph,86400,3,0.5,13.005363155363156,0.6572461232925089,12.363474776031428,0.6640124326447623,8.54153313468731,0.6681216931216931,[1.00014117 0.24782596 0.         0.        ],8.54153313468731,0.6681216931216931,[1.00014117 0.24782596 0.         0.        ]
Hypertext graph,3600,3,0.5,1790.9565118397086,0.9123503945000112,1728.448999923684,0.9134664699208188,1236.9903617716209,0.8825447093889717,[15.39558877  0.38398303  0.          0.        ],1236.9903617716209,0.8825447093889717,[15.39558877  0.38398303  0.          0.        ]
Hypertext graph,3600,2.25,0.5,1790.9565118397086,0.9123503945000112,1667.1730661253916,0.9106477805116484,1234.232103933201,0.8825447093889717,[14.98637931  0.40075315  0.          0.        ],1234.232103933201,0.8825447093889717,[14.98637931  0.40075315  0.          0.        ]
Hypertext graph,3600,5,0.5,1790.9565118397086,0.9123503945000112,1782.0314234729092,0.9138293317734211,1239.9215350929603,0.8825447093889717,[15.7213808  0.3706828  0.         0.       ],1239.9215350929603,0.8825447093889717,[15.7213808  0.3706828  0.         0.       ]
Socio-sms graph,3600,1.75,0.5,5.717291666666667,0.6483928339159882,5.232841977665581,0.6223431360303346,4.497159805965795,0.6053568938147074,[0.2732886  0.50788996 0.         0.        ],4.497159805965795,0.6053568938147074,[0.2732886  0.50788996 0.         0.        ]
Hypertext graph,3600,1.25,0.5,1790.9565118397086,0.9123503945000112,1515.8426224374987,0.8983284402984257,1233.1765133623378,0.8825447093889717,[13.72709533  0.45336412  0.          0.        ],1233.1765133623378,0.8825447093889717,[13.72709533  0.45336412  0.          0.        ]
Hypertext graph,3600,1,0.5,1790.9565118397086,0.9123503945000112,1466.3845264347583,0.8952906626309955,1236.6852995478478,0.8825447093889717,[13.19043262  0.47685669  0.          0.        ],1236.6852995478478,0.8825447093889717,[13.19043262  0.47685669  0.          0.        ]
Hypertext graph,1800,0.75,0.5,520.3215491581146,0.8597796146297588,434.88408179340615,0.8550639640352906,390.6497015473136,0.8376205073526145,[5.58637603 0.59174348 0.         0.        ],390.6497015473136,0.8376205073526145,[5.58637603 0.59174348 0.         0.        ]
Socio-sms graph,3600,4.5,0.5,5.717291666666667,0.6483928339159882,5.680643596637667,0.6235883163580929,4.4637727412521375,0.5980245871326026,[0.28607836 0.47044011 0.         0.01232668],4.469880091716179,0.5980245871326026,[0.28807889 0.47981526 0.         0.        ]
Hypertext graph,1800,2,0.5,520.3215491581146,0.8597796146297588,483.8158971196994,0.8553977485619766,382.76248533790556,0.8376205073526145,[6.79224357 0.50073742 0.         0.        ],382.76248533790556,0.8376205073526145,[6.79224357 0.50073742 0.         0.        ]
Socio-sms graph,86400,0.25,0.5,387.50252016129036,0.5922565469277141,309.1047001605963,0.6492731143072561,301.26859423450367,0.6234879032258065,[1.27996725 0.72502346 0.00981686 0.01279927],301.27265110166576,0.6234879032258065,[1.29188624 0.72947951 0.01732466 0.        ]
Socio-sms graph,86400,2.25,0.5,387.50252016129036,0.5922565469277141,358.6070395856017,0.598303986571292,279.8780859452886,0.6234879032258065,[2.03319368 0.38589545 0.04825324 0.11321617],280.16668670456284,0.6234879032258065,[2.10750186 0.41757125 0.0722421  0.06118345]
Hypertext graph,1800,3,0.5,520.3215491581146,0.8597796146297588,505.40757524040316,0.8579618424009416,383.2684407976766,0.8376205073526145,[7.10977606 0.4766536  0.         0.        ],383.2684407976766,0.8376205073526145,[7.10977606 0.4766536  0.         0.        ]
Socio-sms graph,86400,0.75,0.5,387.50252016129036,0.5922565469277141,306.80727100727404,0.6376167216108648,277.1206703874997,0.6234879032258065,[1.53657273 0.54788049 0.04072764 0.06892721],277.1913855886528,0.6234879032258065,[1.57839346 0.56871577 0.05215293 0.0385736 ]
Socio-sms graph,86400,0.5,0.5,387.50252016129036,0.5922565469277141,303.5135420222084,0.640878607123254,284.0627054469626,0.6234879032258065,[1.41426401 0.6110737  0.03198716 0.04676176],284.0915790044591,0.6234879032258065,[1.44284412 0.62540312 0.04078038 0.02458173]
Socio-sms graph,86400,1.75,0.5,387.50252016129036,0.5922565469277141,343.70667957776664,0.5955376989215794,277.57851847841346,0.6234879032258065,[1.92674357 0.41510438 0.04905243 0.10654748],277.8118927295775,0.6234879032258065,[1.99491014 0.44533474 0.0699785  0.05888206]
College graph 2,259200,4.5,0.5,168.16796127873843,0.7632412379250711,166.45682208731765,0.7740672783157214,130.30409965086668,0.7341133533705453,[1.71911922 0.56246234 0.03200415 0.        ],130.30410092753985,0.7341133533705453,[1.71912276 0.56246141 0.03200445 0.        ]
Socio-sms graph,86400,1.5,0.5,387.50252016129036,0.5922565469277141,334.5870023330823,0.6056600657975105,276.3436963694504,0.6234879032258065,[1.85352323 0.43660058 0.04877574 0.10135559],276.54286086461684,0.6234879032258065,[1.9174808  0.46568306 0.06780333 0.05655375]
Socio-sms graph,86400,1,0.5,387.50252016129036,0.5922565469277141,314.916456557982,0.6349599696620043,275.1679810481965,0.6234879032258065,[1.65754813 0.50084832 0.04518427 0.08385069],275.2845090969794,0.6234879032258065,[1.70900515 0.52567908 0.05948655 0.047283  ]
Socio-sms graph,86400,5,0.5,387.50252016129036,0.5922565469277141,385.41296134080767,0.5863604545416181,284.267687546478,0.6234879032258065,[2.19672499 0.3466437  0.04112402 0.12318742],284.6731790741032,0.6234879032258065,[2.28330691 0.38039657 0.07235065 0.06162888]
Socio-sms graph,86400,3.5,0.5,387.50252016129036,0.5922565469277141,378.41139941620224,0.5917749329331515,283.116451648446,0.6234879032258065,[2.15683741 0.35541931 0.04403879 0.12050906],283.4859874261672,0.6234879032258065,[2.23950057 0.38855516 0.07294429 0.06203153]
Socio-sms graph,86400,4,0.5,387.50252016129036,0.5922565469277141,381.9052219189363,0.5893732975862128,283.6912640718722,0.6234879032258065,[2.17699532 0.35080881 0.04293319 0.12171853],284.07768775781165,0.6234879032258065,[2.26141101 0.38421833 0.07290407 0.06183534]
Socio-sms graph,86400,3,0.5,387.50252016129036,0.5922565469277141,372.877604048012,0.5951004430287155,282.20557139954883,0.6234879032258065,[2.1240001  0.36310634 0.04568389 0.11851031],282.55064930791673,0.6234879032258065,[2.20413408 0.39582171 0.07307716 0.0620215 ]
Socio-sms graph,86400,1.25,0.5,387.50252016129036,0.5922565469277141,324.72453739486934,0.6220820624921211,275.34469444548984,0.6234879032258065,[1.76413018 0.46454991 0.04767804 0.09410471],275.5047883003555,0.6234879032258065,[1.82269224 0.49194779 0.06449281 0.05290101]
Socio-sms graph,86400,2,0.5,387.50252016129036,0.5922565469277141,351.74353223039964,0.5932706424534893,278.79145931102585,0.6234879032258065,[1.98587198 0.39860982 0.04875459 0.1103793 ],279.05447549544647,0.6234879032258065,[2.05742381 0.42963519 0.07138759 0.06031699]
Socio-sms graph,86400,2.5,0.5,387.50252016129036,0.5922565469277141,364.34028060997355,0.5987566585918873,280.8062880915876,0.6234879032258065,[2.07080284 0.37627473 0.04731621 0.11547069],281.1167653428222,0.6234879032258065,[2.14740244 0.40824464 0.07287542 0.06161441]
Socio-sms graph,86400,4.5,0.5,387.50252016129036,0.5922565469277141,384.07647436270895,0.5867856575440055,284.04817205161237,0.6234879032258065,[2.18924733 0.34821676 0.04180178 0.12264084],284.4459992524969,0.6234879032258065,[2.27494884 0.38183272 0.07251962 0.06176611]
Socio-calls graph,86400,2.5,0.5,13.005363155363156,0.6572461232925089,11.980205423971867,0.6652124902535381,8.494878028902184,0.6844752668674929,[0.98554775 0.2584626  0.         0.        ],8.494878028902184,0.6844752668674929,[0.98554775 0.2584626  0.         0.        ]
Hypertext graph,1800,1.25,0.5,520.3215491581146,0.8597796146297588,455.6948507426653,0.8554576020311351,384.2338486172363,0.8376205073526145,[6.24830362 0.54170829 0.         0.        ],384.2338486172363,0.8376205073526145,[6.24830362 0.54170829 0.         0.        ]
Socio-calls graph,86400,0.75,0.5,13.005363155363156,0.6572461232925089,8.778952545669279,0.6862512603423461,7.906366173797188,0.6895034388146142,[0.79080152 0.39866327 0.         0.        ],7.906366173797188,0.6895034388146142,[0.79080152 0.39866327 0.         0.        ]
College graph 2,259200,1,0.5,168.16796127873843,0.7632412379250711,130.75140166135708,0.7816505834534164,117.9190946714053,0.7341133533705453,[1.01914832 0.70080369 0.02236081 0.        ],117.9190956359707,0.7341133533705453,[1.01914928 0.70080381 0.02236021 0.        ]
Socio-sms graph,259200,0.5,0.5,2255.2509765625,0.7162429283405172,1943.0317711846683,0.7768366571443418,1786.8423890495792,0.71240234375,[5.94210537 0.5739704  0.         0.        ],1786.8423890495792,0.71240234375,[5.94210537 0.5739704  0.         0.        ]
Socio-sms graph,259200,1.25,0.5,2255.2509765625,0.7162429283405172,2081.9077989752927,0.7675112546474097,1702.3245531213468,0.71240234375,[6.61950468 0.49631816 0.         0.        ],1702.3273371626708,0.71240234375,[6.61832197e+00 4.96033112e-01 0.00000000e+00 3.96985064e-04]
Socio-sms graph,259200,0.75,0.5,2255.2509765625,0.7162429283405172,2002.8671769736948,0.7739625045212314,1752.6149737646476,0.71240234375,[6.30760162 0.529875   0.         0.        ],1752.6149737646476,0.71240234375,[6.30760162 0.529875   0.         0.        ]
Socio-sms graph,259200,1,0.5,2255.2509765625,0.7162429283405172,2046.9281987043478,0.7721911021584378,1724.2915134287796,0.71240234375,[6.4924983  0.50890303 0.         0.        ],1724.2915134287796,0.71240234375,[6.4924983  0.50890303 0.         0.        ]
Socio-sms graph,259200,0.25,0.5,2255.2509765625,0.7162429283405172,1873.8673241057227,0.7618019829858226,1824.2599775848203,0.71240234375,[4.92541834 0.69206475 0.         0.        ],1824.2599775848203,0.71240234375,[4.92541834 0.69206475 0.         0.        ]
Socio-sms graph,259200,3.5,0.5,2255.2509765625,0.7162429283405172,2230.5458560360935,0.7375770167887515,1642.7071603000668,0.71240234375,[7.08185354 0.46054879 0.         0.        ],1642.6965557158715,0.71240234375,[7.06666277e+00 4.56695100e-01 0.00000000e+00 5.38838073e-03]
Socio-sms graph,259200,4.5,0.5,2255.2509765625,0.7162429283405172,2245.918124993788,0.7295337194683907,1639.2617575342229,0.71240234375,[7.12345607 0.45763552 0.         0.        ],1639.2459257210423,0.71240234375,[7.10757588e+00 4.53586145e-01 0.00000000e+00 5.66825951e-03]
Socio-sms graph,259200,1.75,0.5,2255.2509765625,0.7162429283405172,2136.921385484179,0.7592374672785275,1673.5959019787379,0.71240234375,[6.80361429 0.48083491 0.         0.        ],1673.5964367775173,0.71240234375,[6.80297413e+00 4.80677818e-01 0.00000000e+00 2.19101802e-04]
Socio-sms graph,259200,1.5,0.5,2255.2509765625,0.7162429283405172,2111.4606230457075,0.7550636518887957,1685.8232153824501,0.71240234375,[6.72033637 0.48750926 0.         0.        ],1685.8232153824501,0.71240234375,[6.72033637 0.48750926 0.         0.        ]
Socio-sms graph,259200,2,0.5,2255.2509765625,0.7162429283405172,2158.7527783810233,0.7606074892241379,1664.567661570362,0.71240234375,[6.87243474 0.47560432 0.         0.        ],1664.5689691509124,0.71240234375,[6.86904879e+00 4.74767259e-01 0.00000000e+00 1.16810032e-03]
Socio-sms graph,259200,2.25,0.5,2255.2509765625,0.7162429283405172,2177.223222183384,0.7562749028387887,1657.8887685206473,0.71240234375,[6.92877377 0.47145665 0.         0.        ],1657.8885227524065,0.71240234375,[6.92657440e+00 4.70909501e-01 0.00000000e+00 7.63890871e-04]
Socio-sms graph,259200,4,0.5,2255.2509765625,0.7162429283405172,2240.0178525611263,0.7327076277709359,1640.5416598114227,0.71240234375,[7.10761606 0.45874327 0.         0.        ],1640.528096578621,0.71240234375,[7.09294928e+00 4.55008294e-01 0.00000000e+00 5.22474839e-03]
Socio-sms graph,259200,3,0.5,2255.2509765625,0.7162429283405172,2215.594532322746,0.7381285919540229,1646.4231513978555,0.71240234375,[7.04033129 0.46347196 0.         0.        ],1646.416730293332,0.71240234375,[7.02809964e+00 4.60387325e-01 0.00000000e+00 4.31103017e-03]
Socio-sms graph,259200,2.5,0.5,2255.2509765625,0.7162429283405172,2192.6220199321797,0.7514406556746516,1652.9248229598622,0.71240234375,[6.97442337 0.46816003 0.         0.        ],1652.9230513548364,0.71240234375,[6.96670626e+00 4.66229960e-01 0.00000000e+00 2.69570365e-03]
Socio-sms graph,259200,5,0.5,2255.2509765625,0.7162429283405172,2249.5554683500095,0.7274082185422726,1638.4980257875523,0.71240234375,[7.13314266 0.45695884 0.         0.        ],1638.4804554722232,0.71240234375,[7.11565364e+00 4.52479018e-01 0.00000000e+00 6.26892496e-03]
Socio-sms graph,3600,2.5,0.5,5.717291666666667,0.6483928339159882,5.467614495524625,0.6177402441486141,4.478192933891165,0.5978698430951728,[0.28107838 0.48957989 0.         0.00333207],4.479837974658249,0.5974971136727525,[0.28162895 0.49209679 0.         0.        ]
Hypertext graph,1800,2.5,0.5,520.3215491581146,0.8597796146297588,496.69728405947296,0.8568880493164299,382.96540918273246,0.8376205073526145,[6.98875531 0.48585031 0.         0.        ],382.96540918273246,0.8376205073526145,[6.98875531 0.48585031 0.         0.        ]
Hypertext graph,1800,5,0.5,520.3215491581146,0.8597796146297588,518.1904423484713,0.8555632820330648,383.8841289607042,0.8376205073526145,[7.27361299 0.46416799 0.         0.        ],383.88412896070423,0.8376205073526145,[7.27361299 0.46416799 0.         0.        ]
Socio-calls graph,3600,1.5,0.5,0.9732884399551066,0.30236703406876664,0.7898410763922875,0.26290196730217963,0.502293190037297,0.5375757575757576,[0.15218855 0.         0.         0.        ],0.502293190037297,0.5375757575757576,[0.15218855 0.         0.         0.        ]
Socio-calls graph,86400,4.5,0.5,13.005363155363156,0.6572461232925089,12.856405342709008,0.6634176362626858,8.596625426711666,0.6681216931216931,[1.01730237 0.23530401 0.         0.        ],8.596625426711666,0.6681216931216931,[1.01730237 0.23530401 0.         0.        ]
Socio-sms graph,3600,3,0.5,5.717291666666667,0.6483928339159882,5.560410527004661,0.6202539073067141,4.471057139440388,0.5982833127810823,[0.28332669 0.48095462 0.         0.00740581],4.474756134689132,0.5982833127810823,[0.28454903 0.48654828 0.         0.        ]
Socio-calls graph,3600,3.5,0.5,0.9732884399551066,0.30236703406876664,0.9429069257242053,0.2659965958236178,0.502293190037297,0.5375757575757576,[0.15218855 0.         0.         0.        ],0.502293190037297,0.5375757575757576,[0.15218855 0.         0.         0.        ]
Socio-calls graph,3600,2.25,0.5,0.9732884399551066,0.30236703406876664,0.8756994250667598,0.2649299743132317,0.502293190037297,0.5375757575757576,[0.15218855 0.         0.         0.        ],0.502293190037297,0.5375757575757576,[0.15218855 0.         0.         0.        ]
Socio-sms graph,3600,1,0.5,5.717291666666667,0.6483928339159882,4.831808569100661,0.616395567513211,4.540544037315847,0.613674675816551,[0.25398377 0.54431041 0.         0.        ],4.540544037315847,0.613674675816551,[0.25398377 0.54431041 0.         0.        ]
Socio-calls graph,3600,2.5,0.5,0.9732884399551066,0.30236703406876664,0.8953508943749824,0.2657840557086103,0.502293190037297,0.5375757575757576,[0.15218855 0.         0.         0.        ],0.502293190037297,0.5375757575757576,[0.15218855 0.         0.         0.        ]
College graph 2,86400,1.75,0.5,74.31491230967401,0.6494809442009095,60.506284465399595,0.653801899889731,42.67701868398009,0.6396043201109753,[1.06435683 0.25849434 0.00555696 0.        ],42.67700579112824,0.6396043201109753,[1.06435315 0.25849278 0.00556496 0.        ]
Socio-calls graph,86400,1.5,0.5,13.005363155363156,0.6572461232925089,10.558688096808421,0.6730651194295307,8.285625719827136,0.6807834881311366,[0.91910005 0.30672971 0.         0.        ],8.285625719827136,0.6807834881311366,[0.91910005 0.30672971 0.         0.        ]
Socio-calls graph,3600,0.75,0.5,0.9732884399551066,0.30236703406876664,0.6574669609925945,0.26605640657558005,0.502293190037297,0.5375757575757576,[0.15218855 0.         0.         0.        ],0.502293190037297,0.5375757575757576,[0.15218855 0.         0.         0.        ]
Socio-calls graph,3600,5,0.5,0.9732884399551066,0.30236703406876664,0.9663231580897685,0.26642878707171386,0.502293190037297,0.5375757575757576,[0.15218855 0.         0.         0.        ],0.502293190037297,0.5375757575757576,[0.15218855 0.         0.         0.        ]
Socio-calls graph,3600,2,0.5,0.9732884399551066,0.30236703406876664,0.8518668197232332,0.2669743617479501,0.502293190037297,0.5375757575757576,[0.15218855 0.         0.         0.        ],0.502293190037297,0.5375757575757576,[0.15218855 0.         0.         0.        ]
Hypertext graph,1800,0.5,0.5,520.3215491581146,0.8597796146297588,428.07314532847573,0.8509890315447717,399.3281036377496,0.8376205073526145,[5.09594477 0.63070875 0.         0.        ],399.3281036377496,0.8376205073526145,[5.09594477 0.63070875 0.         0.        ]
Socio-calls graph,3600,0.5,0.5,0.9732884399551066,0.30236703406876664,0.6010640778387674,0.2407586061887137,0.502293190037297,0.5375757575757576,[0.15218855 0.         0.         0.        ],0.502293190037297,0.5375757575757576,[0.15218855 0.         0.         0.        ]
Hypertext graph,1800,0.25,0.5,520.3215491581146,0.8597796146297588,430.6890028725487,0.8448466163183128,418.27151274388206,0.8376205073526145,[4.44825707 0.69646603 0.         0.        ],418.27151274388206,0.8376205073526145,[4.44825707 0.69646603 0.         0.        ]
Socio-calls graph,3600,3,0.5,0.9732884399551066,0.30236703406876664,0.924297208371786,0.2659965958236178,0.502293190037297,0.5375757575757576,[0.15218855 0.         0.         0.        ],0.502293190037297,0.5375757575757576,[0.15218855 0.         0.         0.        ]
Socio-calls graph,3600,0.25,0.5,0.9732884399551066,0.30236703406876664,0.5369580032415606,0.22074798160819667,0.502293190037297,0.5375757575757576,[0.15218855 0.         0.         0.        ],0.502293190037297,0.5375757575757576,[0.15218855 0.         0.         0.        ]
Socio-calls graph,86400,0.25,0.5,13.005363155363156,0.6572461232925089,7.452332541270609,0.6923194600927773,7.478471859485819,0.697264441671173,[0.60548824 0.52074008 0.         0.        ],7.478471859485819,0.697264441671173,[0.60548824 0.52074008 0.         0.        ]
Hypertext graph,1800,4,0.5,520.3215491581146,0.8597796146297588,514.6133356303641,0.8559790199474554,383.69468539219696,0.8376205073526145,[7.2292447  0.46755314 0.         0.        ],383.69468539219696,0.8376205073526145,[7.2292447  0.46755314 0.         0.        ]
Socio-calls graph,3600,1.75,0.5,0.9732884399551066,0.30236703406876664,0.8233671061401836,0.2620662779130416,0.502293190037297,0.5375757575757576,[0.15218855 0.         0.         0.        ],0.502293190037297,0.5375757575757576,[0.15218855 0.         0.         0.        ]
Socio-calls graph,3600,1.25,0.5,0.9732884399551066,0.30236703406876664,0.7511022521482092,0.2633757973791059,0.502293190037297,0.5375757575757576,[0.15218855 0.         0.         0.        ],0.502293190037297,0.5375757575757576,[0.15218855 0.         0.         0.        ]
Socio-calls graph,3600,4.5,0.5,0.9732884399551066,0.30236703406876664,0.9618629823345011,0.26642878707171386,0.502293190037297,0.5375757575757576,[0.15218855 0.         0.         0.        ],0.502293190037297,0.5375757575757576,[0.15218855 0.         0.         0.        ]
Socio-calls graph,3600,1,0.5,0.9732884399551066,0.30236703406876664,0.7070771457813031,0.26499721673246335,0.502293190037297,0.5375757575757576,[0.15218855 0.         0.         0.        ],0.502293190037297,0.5375757575757576,[0.15218855 0.         0.         0.        ]
Socio-calls graph,86400,3.5,0.5,13.005363155363156,0.6572461232925089,12.60828626159935,0.6641663905356239,8.569547230341087,0.6681216931216931,[1.00887624 0.24145406 0.         0.        ],8.569547230341087,0.6681216931216931,[1.00887624 0.24145406 0.         0.        ]
Socio-calls graph,3600,4,0.5,0.9732884399551066,0.30236703406876664,0.9546077673171988,0.26642878707171386,0.502293190037297,0.5375757575757576,[0.15218855 0.         0.         0.        ],0.502293190037297,0.5375757575757576,[0.15218855 0.         0.         0.        ]
Socio-calls graph,86400,0.5,0.5,13.005363155363156,0.6572461232925089,8.096210958237242,0.6886311649420386,7.7069244899409695,0.6914918584718031,[0.71486414 0.45143821 0.         0.        ],7.7069244899409695,0.6914918584718031,[0.71486414 0.45143821 0.         0.        ]
College graph 2,259200,0.75,0.5,168.16796127873843,0.7632412379250711,126.01915862859671,0.7825238180634068,116.65569188713212,0.7701828228517389,[0.83077566 0.73416311 0.01948513 0.        ],116.65569084176782,0.7701828228517389,[0.83077461 0.73416297 0.01948579 0.        ]
College graph 2,86400,1,0.5,74.31491230967401,0.6494809442009095,50.13722631548363,0.6549487877438273,40.885871235744226,0.6605368928592096,[0.88863141 0.37949296 0.         0.        ],40.885871235744226,0.6605368928592096,[0.88863141 0.37949296 0.         0.        ]
College graph 2,86400,0.75,0.5,74.31491230967401,0.6494809442009095,46.01682699506728,0.6547630323497798,39.83844426812923,0.6609364340269064,[0.7831111  0.44897427 0.         0.        ],39.83844426812923,0.6609364340269064,[0.7831111  0.44897427 0.         0.        ]
College graph 2,86400,0.5,0.5,74.31491230967401,0.6494809442009095,41.82717740800235,0.6612021265104293,38.475525315224125,0.6603816588208408,[0.63567589 0.54276308 0.         0.        ],38.475525315224125,0.6603816588208408,[0.63567589 0.54276308 0.         0.        ]
