Dataset name,delta_t,Baseline MSE,Baseline AUPRC,SDModel MSE,SDModel AUPRC,SDModel tau,SDModel L,SCDModel MSE,SCDModel AUPRC,SCDModel tau,SCDModel L,SCDModel coefs,SCDOModel MSE,SCDOModel AUPRC,SCDOModel tau,SCDOModel L,SCDOModel coefs
College graph 1,3600,4.2231981226952735,0.3977701796163721,3.601041764441384,0.3600780395588226,0.25,0.5,3.59579348421276,0.4051848947271996,5.0,0.5,[0.2718642  0.05848145 0.         0.        ],3.59579348421276,0.4051848947271996,5.0,0.5,[0.2718642  0.05848145 0.         0.        ]
College graph 1,86400,267.3684158146162,0.8497815226379959,202.03564725767464,0.8230126669063519,0.25,0.5,182.12603404195383,0.7850632752262823,1.0,0.5,[1.63893246 0.39076512 0.12673275 0.15055881],181.12509167768775,0.7850632752262823,1.25,0.5,[1.484666   0.37969044 0.08134503 0.29510296]
College graph 1,259200,1569.1172858318348,0.9093523624489734,1205.9860753664088,0.8815587487192248,0.5,0.5,1028.5463228033489,0.8684743851522263,1.0,0.5,[3.99712384 0.37038367 0.09913089 0.15467874],1027.0165593184488,0.8684743851522263,1.0,0.5,[3.55736388 0.40574708 0.06821503 0.21055834]
College graph 2,3600,1.819657936167168,0.2453916300975734,0.8516208198277324,0.2496094653131309,0.25,0.5,0.804389214851543,0.5223465006440532,0.5,0.5,[0.09141835 0.         0.         0.        ],0.804389214851543,0.5223465006440532,0.5,0.5,[0.09141835 0.         0.         0.        ]
College graph 2,86400,74.31491230967401,0.6494809442009095,38.15611596331878,0.6531294368510567,0.25,0.5,37.01878143914708,0.6553587464067243,0.25,0.5,[0.42019937 0.66725898 0.         0.        ],37.01878143914708,0.6553587464067243,0.25,0.5,[0.42019937 0.66725898 0.         0.        ]
College graph 2,259200,168.16796127873843,0.7632412379250711,123.65718654568974,0.7840309601341913,0.5,0.5,116.65569188713212,0.7701828228517389,0.75,0.5,[0.83077566 0.73416311 0.01948513 0.        ],116.65569084176782,0.7701828228517389,0.75,0.5,[0.83077461 0.73416297 0.01948579 0.        ]
Hypertext graph,600,64.19229361826699,0.784143125016709,58.57139269837771,0.7604653512524643,0.75,0.5,51.617840393189,0.7401769450949779,3.0,0.5,[1.81334038 0.60111016 0.01369799 0.        ],51.61165196113802,0.7401769450949779,3.0,0.5,[1.80527013 0.5982247  0.         0.01941651]
Hypertext graph,1800,520.3215491581146,0.8597796146297588,428.0731453284757,0.8509890315447717,0.5,0.5,382.7624853379056,0.8376205073526145,2.0,0.5,[6.79224357 0.50073742 0.         0.        ],382.7624853379056,0.8376205073526145,2.0,0.5,[6.79224357 0.50073742 0.         0.        ]
Hypertext graph,3600,1790.9565118397086,0.9123503945000112,1348.37164212534,0.8857106629148604,0.25,0.5,1232.1742947784678,0.8825447093889717,1.5,0.5,[14.15678527  0.43515048  0.          0.        ],1232.1742947784678,0.8825447093889717,1.5,0.5,[14.15678527  0.43515048  0.          0.        ]
SFHH graph,600,108.83633200470466,0.8128440785014631,104.10763421916444,0.7841766495592294,1.25,0.5,88.88786176038798,0.670001306847883,5.0,0.5,w,88.64175590880915,0.670001306847883,5.0,0.5,[1.17707953 0.48609852 0.         0.35708802]
SFHH graph,1800,1050.2696668725944,0.7744976679617008,961.3829732776292,0.7187403041224694,0.75,0.5,790.4006672744744,0.7216271444185716,5.0,0.5,[6.04003127 0.29632927 0.         0.29967605],793.1598298354425,0.7216271444185716,5.0,0.5,[6.63332495 0.40156168 0.         0.20783465]
SFHH graph,3600,4993.175041581523,0.8112205894365776,3899.685188773769,0.782657595836674,0.5,0.5,3214.507606941206,0.7850021384783539,1.75,0.5,[20.66822399  0.34165389  0.          0.        ],3214.507606941206,0.7850021384783539,1.75,0.5,[20.66822399  0.34165389  0.          0.        ]
Socio-calls graph,3600,0.9732884399551066,0.3023670340687666,0.5369580032415606,0.2207479816081966,0.25,0.5,0.502293190037297,0.5375757575757576,1.5,0.5,[0.15218855 0.         0.         0.        ],0.502293190037297,0.5375757575757576,1.5,0.5,[0.15218855 0.         0.         0.        ]
Socio-calls graph,86400,13.005363155363156,0.6572461232925089,7.452332541270609,0.6923194600927773,0.25,0.5,7.478471859485819,0.697264441671173,0.25,0.5,[0.60548824 0.52074008 0.         0.        ],7.478471859485819,0.697264441671173,0.25,0.5,[0.60548824 0.52074008 0.         0.        ]
Socio-calls graph,259200,40.79545454545455,0.8259915196456931,27.237796994121457,0.8284267690317001,0.25,0.5,26.086867398725044,0.8257876735791394,0.25,0.5,[0.26552653 0.80975665 0.0013212  0.        ],26.086875313012577,0.8257876735791394,0.25,0.5,[0.26553035 0.80979588 0.001278   0.        ]
Socio-sms graph,3600,5.717291666666667,0.6483928339159882,4.564433203427264,0.6153684014950358,0.5,0.5,4.463066932459001,0.5980245871326026,5.0,0.5,[0.28640981 0.46948941 0.         0.01262654],4.469431888799364,0.5980245871326026,5.0,0.5,[0.28848153 0.47904493 0.         0.        ]
Socio-sms graph,86400,387.5025201612904,0.5922565469277141,303.5135420222084,0.640878607123254,0.5,0.5,275.1679810481965,0.6234879032258065,1.0,0.5,[1.65754813 0.50084832 0.04518427 0.08385069],275.2845090969794,0.6234879032258065,1.0,0.5,[1.70900515 0.52567908 0.05948655 0.047283  ]
Socio-sms graph,259200,2255.2509765625,0.7162429283405172,1873.867324105723,0.7618019829858226,0.25,0.5,1638.4980257875525,0.71240234375,5.0,0.5,[7.13314266 0.45695884 0.         0.        ],1638.4804554722232,0.71240234375,5.0,0.5,[7.11565364e+00 4.52479018e-01 0.00000000e+00 6.26892496e-03]
