Dataset,Delta t,Baseline MSE,Baseline AUPRC,SDModel MSE,SDModel AUPRC,SCDModel MSE,SCDModel AUPRC,SCDOModel MSE,SCDOModel AUPRC
Hypertext graph,600,56.522077405274125,0.7803582957636958,53.9961905514468,0.7655432807834018,48.083167088286416,0.7577490367582609,47.845939835413006,0.7602794418815766
Hypertext graph,1800,455.1735541894353,0.8547904556367063,391.6876526028945,0.8426562272889792,363.4615038081583,0.835280510658934,360.2211935729883,0.8357512900551114
Hypertext graph,3600,1512.586737791656,0.9010400897096924,1070.5722957715311,0.8452791513166411,1036.687843367714,0.8419846795688378,1030.5518449398962,0.8418724935110141
SFHH graph,600,172.00270095615988,0.8458587021170747,171.26195217873803,0.8457120924312967,146.9996449504956,0.7717309938156631,146.89306749549309,0.7731644340436433
SFHH graph,1800,1550.099896667842,0.8304689562015883,1168.0437052942343,0.7685696184373586,1101.6480228606265,0.7827187325374817,1091.3411660083884,0.7833178067631357
SFHH graph,3600,6883.656679859607,0.8757951257271673,3922.946191842375,0.7777613077948178,3740.408788107476,0.780018536248244,3621.1117088931887,0.7798804109114397
College graph 1,3600,5.072962868648839,0.4451474690255235,4.039669761465035,0.4254593975468196,2.9920376383508085,0.391765541226813,2.775500913749053,0.385747513952653
College graph 1,86400,305.4557019346188,0.8641046242484481,249.3310794727365,0.8646976039589703,230.38813433418323,0.8333497629106247,222.72330944611548,0.8305295337131066
College graph 1,259200,1598.5315757546732,0.922576306419107,1198.7125129923904,0.8890208223092675,1132.6693638184993,0.8809017360346134,1073.2501103803254,0.8788340813812907
College graph 2,3600,1.6193542715771314,0.2799694764490515,1.1340407594955582,0.2758713591102872,0.4020650129118282,0.2689948104333123,0.3789801325748608,0.2896134263758189
College graph 2,86400,61.73070859274367,0.6952995803960715,35.42537383063901,0.6988878577140991,34.50586343364522,0.690132794017896,34.36363393699017,0.6914195957269844
College graph 2,259200,173.42578053119058,0.8091290986447767,106.909207542515,0.809835129479765,103.54190593480898,0.7938346905083019,102.7531573558064,0.8053291616999316
Socio-calls graph,3600,1.2781664615942236,0.2976374148252254,0.7792594298799869,0.232640819815862,0.6536978292009373,0.2410703264340183,0.6108355348728836,0.2224425497280369
Socio-calls graph,86400,19.0913693287794,0.6980070149027792,12.085996512670643,0.7195561700186541,11.932558323312806,0.7184656652197724,11.920286464106672,0.719594088970322
Socio-calls graph,259200,62.53230551125287,0.8565875536629278,44.50704288076239,0.8695269543557195,43.521880807120105,0.8634968984825687,43.32879787268928,0.8631551706229317
Socio-sms graph,3600,6.151724365750529,0.6697581619794288,5.224306154766657,0.6043194810714364,3.494952606590635,0.5409840263345072,3.908241477634512,0.5317587413939799
Socio-sms graph,86400,376.2212837837838,0.6092391387270972,309.5375400867369,0.6616150287885522,302.80344241238765,0.6428036462843579,301.9602201860084,0.6440687584919239
Socio-sms graph,259200,2157.622731854839,0.7532049451710074,1474.319843512902,0.7629958610956734,1456.399342426815,0.7629090099108377,1452.9446887066429,0.7555879639864209
